Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","C_0603_1608Metric",36.8000,-13.2000,-90.0000,bottom
"C2","22uF","C_0603_1608Metric",35.2500,-13.2000,-90.0000,bottom
"C3","2.2uF","C_0402_1005Metric",33.9500,-12.7500,-90.0000,bottom
"C4","0.1uF","C_0402_1005Metric",43.0000,-9.9000,0.0000,bottom
"C6","22uF","C_0603_1608Metric",46.3000,-13.2000,-90.0000,bottom
"C7","22uF","C_0603_1608Metric",43.2000,-13.2000,-90.0000,bottom
"C8","22uF","C_0603_1608Metric",44.7500,-13.2000,-90.0000,bottom
"C11","0.1uF","C_0402_1005Metric",11.3800,-19.2400,-90.0000,top
"C16","33pF","C_0402_1005Metric",4.8800,-19.7400,-90.0000,top
"C17","33pF","C_0402_1005Metric",10.0800,-19.2400,-90.0000,top
"C18","33pF","C_0402_1005Metric",5.8800,-19.7400,-90.0000,top
"C20","100nF","C_0402_1005Metric",47.7000,-19.0500,-90.0000,top
"C21","100nF","C_0402_1005Metric",24.3000,-25.5000,-90.0000,top
"C22","33pF","C_0402_1005Metric",46.5000,-19.0500,-90.0000,top
"C23","33pF","C_0402_1005Metric",25.3000,-25.5000,-90.0000,top
"C24","10pF","C_0402_1005Metric",48.9000,-19.0500,-90.0000,top
"C25","10pF","C_0402_1005Metric",26.3000,-25.5000,-90.0000,top
"C26","C_Polarized_US","CP_EIA-3528-12_Kemet-T",47.6000,-15.2500,270.0000,top
"C28","C_Polarized_US","CP_EIA-3528-12_Kemet-T",21.2000,-25.9000,0.0000,top
"C29","0.1uF","C_0402_1005Metric",21.1000,-19.0500,-90.0000,bottom
"C30","4.7uF","C_0402_1005Metric",48.2500,-15.3000,90.0000,bottom
"C31","4.7uF","C_0402_1005Metric",48.2500,-21.6500,-90.0000,bottom
"C33","4.7uF","C_0402_1005Metric",44.9500,-19.4000,90.0000,bottom
"C34","0.1uF","C_0402_1005Metric",21.0942,-13.6244,180.0000,bottom
"FB1","FerriteBead","R_0805_2012Metric",31.7500,-12.5000,0.0000,bottom
"FB2","FerriteBead","R_0805_2012Metric",48.8000,-12.4250,0.0000,bottom
"FB3","FerriteBead","R_0805_2012Metric",50.5000,-15.8500,90.0000,top
"FB4","FerriteBead","R_0805_2012Metric",28.8000,-26.1000,0.0000,top
"J1","SIM8060-6-0-14-00-A","GCT_SIM8060-6-0-14-00-A",8.2000,-10.4000,180.0000,top
"L1","1 uH","L_Coilcraft_XxL4020",39.9500,-17.2500,180.0000,bottom
"R1","1.24M","R_0402_1005Metric",46.1000,-11.1500,180.0000,bottom
"R2","182k","R_0402_1005Metric",44.6000,-10.6900,90.0000,bottom
"R3","0","R_0402_1005Metric",5.8800,-22.4400,90.0000,top
"R6","0","R_0402_1005Metric",47.8000,-7.4500,180.0000,top
"R8","15k","R_0402_1005Metric",4.7800,-25.2400,0.0000,top
"R14","470","C_0402_1005Metric",49.3500,-10.6500,-90.0000,top
"R15","100k","R_0402_1005Metric",31.0000,-14.0000,180.0000,bottom
"R21","0","R_0402_1005Metric",12.3800,-24.2400,90.0000,top
"R22","0","R_0402_1005Metric",8.7800,-24.6400,90.0000,top
"U1","BG96","Quectel_BG96",32.3000,-12.7000,-90.0000,top
"U3","TXB0108DQSR","USON-20_2x4mm_P0.4mm",21.1000,-16.4000,90.0000,bottom
"VD1","D_TVS","D_0402_1005Metric",49.7350,-6.4625,180.0000,top
"VD4","BLUE","LED_0603_1608Metric",50.6500,-10.3500,-90.0000,top
"VD5","SS2030FL_R1_00001","D_SOD-123F",14.5500,-10.4000,90.0000,bottom
"VD6","SS2030FL_R1_00001","D_SOD-123F",16.9500,-10.4000,90.0000,bottom
